year,state,total_vote,d,r,margin
1876,GEORGIA,180690,130157,50533,44.06663346062316
1876,ILLINOIS,554368,258611,278232,-3.539345705379815
1876,INDIANA,430020,213516,206971,1.5220222315241172
1876,IOWA,293398,112121,171326,-20.179074158651396
1876,KANSAS,124134,37902,78324,-32.56319783459809
1876,KENTUCKY,259614,159696,97156,24.089609959401265
1876,LOUISIANA,145823,70508,75315,-3.2964621493180077
1876,MAINE,117045,49917,66300,-13.99718057157503
1876,MARYLAND,163759,91779,71980,12.090327859842814
1876,MASSACHUSETTS,259619,108777,150063,-15.902534098043663
1876,MICHIGAN,318426,141665,166901,-7.925232236061125
1876,MINNESOTA,124119,48816,72982,-19.47002473432754
1876,MISSISSIPPI,164776,112173,52603,36.15210953051415
1876,MISSOURI,350610,202086,145027,16.274207809246743
1876,NEBRASKA,49258,17343,31915,-29.58301189654473
1876,NEVADA,19691,9308,10383,-5.45934690975573
1876,NEW HAMPSHIRE,80143,38510,41540,-3.780741923811187
1876,NEW JERSEY,220193,115962,103517,5.651859959217598
1876,NEW YORK,1015503,521949,489207,3.2242149949335444
1876,NORTH CAROLINA,233911,125427,108484,7.243353241190026
1876,OHIO,658650,323182,330698,-1.1411219919532367
1876,OREGON,29873,14157,15207,-3.5148796572155474
1876,PENNSYLVANIA,758973,366204,384157,-2.3654332894582577
1876,RHODE ISLAND,26499,10712,15787,-19.151666100607567
1876,SOUTH CAROLINA,182683,90897,91786,-0.4866353191046835
1876,TENNESSEE,222743,133177,89566,19.579066457756245
1876,TEXAS,151431,106372,45013,40.519444499475014
1876,VERMONT,64460,20254,44092,-36.98107353397456
1876,VIRGINIA,236288,140770,95518,19.15120530877573
1876,WEST VIRGINIA,99647,56546,41997,14.60053990586771
1876,WISCONSIN,257799,123927,130668,-2.6148278309846007
1880,ALABAMA,151902,91130,56350,22.8963410620005
1880,ARKANSAS,108870,60775,42436,16.844860843207492
1880,CALIFORNIA,164218,80426,80282,0.08768831674969002
1880,COLORADO,53546,24647,27450,-5.234751428678141
1880,CONNECTICUT,132798,64411,67071,-2.0030422144911855
1880,DELAWARE,29458,15181,14148,3.506687487270016
1880,FLORIDA,51618,27964,23654,8.349800457204854
1880,GEORGIA,157451,102981,54470,30.81022032251304
1880,ILLINOIS,622305,277321,318036,-6.542611741830773
1880,INDIANA,470758,225523,232169,-1.4117657055217336
1880,IOWA,323140,105845,183904,-24.15640279754905
1880,KANSAS,201054,59789,121520,-30.703691545554925
1880,KENTUCKY,266884,149068,106059,16.115241078521002
1880,LOUISIANA,104462,65047,38978,24.955486205510137
1880,MAINE,143903,65211,74052,-6.143721812609887
1880,MARYLAND,173049,93706,78515,8.77843847696318
1880,MASSACHUSETTS,282505,111960,165198,-18.844976195111585
1880,MICHIGAN,353076,131596,185335,-15.220235869897698
1880,MINNESOTA,150806,53314,93939,-26.938583345490237
1880,MISSISSIPPI,117068,75750,34844,34.942084942084946
1880,MISSOURI,397289,208600,153647,13.831996355298031
1880,NEBRASKA,87355,28523,54979,-30.285616163928804
1880,NEVADA,18343,9611,8732,4.792018753748023
1880,NEW HAMPSHIRE,86361,40797,44856,-4.700038211692781
1880,NEW JERSEY,245928,122565,120555,0.817312384112423
1880,NEW YORK,1103945,534511,555544,-1.9052579612208964
1880,NORTH CAROLINA,240946,124204,115616,3.5642841134528034
1880,OHIO,724984,340867,375048,-4.714724738752862
1880,OREGON,40841,19955,20619,-1.625817193506529
1880,PENNSYLVANIA,874783,407428,444704,-4.261171056136204
