year,state,total_vote,d,r,margin
1948,GEORGIA,418844,254646,76691,42.487178997431016
1948,IDAHO,214816,107370,101514,2.726053925219718
1948,ILLINOIS,3984046,1994715,1961103,0.8436649576837207
1948,INDIANA,1656212,807831,821079,-0.7998975976505396
1948,IOWA,1038264,522380,494018,2.73167518087885
1948,KANSAS,788819,351902,423039,-9.01816513040381
1948,KENTUCKY,822658,466756,341210,15.261019767631264
1948,LOUISIANA,416336,136344,72657,15.297019714845703
1948,MAINE,264787,111916,150234,-14.471254253418786
1948,MARYLAND,596748,286521,294814,-1.3896988343488403
1948,MASSACHUSETTS,2107146,1151788,909370,11.504565891494943
1948,MICHIGAN,2109609,1003448,1038595,-1.666043328408251
1948,MINNESOTA,1212226,692966,483617,17.269799525830994
1948,MISSISSIPPI,192190,19384,5043,7.461886674644883
1948,MISSOURI,1578628,917315,655039,16.61417382689272
1948,MONTANA,224278,119071,96770,9.943463023568968
1948,NEBRASKA,488940,224165,264774,-8.305518059475597
1948,NEVADA,62117,31291,29357,3.1134794017740717
1948,NEW HAMPSHIRE,231440,107995,121299,-5.748358105772561
1948,NEW JERSEY,1949555,895455,981124,-4.394284849619523
1948,NEW MEXICO,187063,105464,80303,13.450548745609764
1948,NEW YORK,6177337,2780204,2841163,-0.9868168111922648
1948,NORTH CAROLINA,791209,459070,258572,25.340712757311913
1948,NORTH DAKOTA,220716,95812,115139,-8.756501567625364
1948,OHIO,2936071,1452791,1445684,0.2420581791107934
1948,OKLAHOMA,721599,452782,268817,25.494076349884075
1948,OREGON,524080,243147,260904,-3.388223172034804
1948,PENNSYLVANIA,3735348,1752426,1902197,-4.009559484149805
1948,RHODE ISLAND,327702,188736,135787,16.157667637060495
1948,SOUTH CAROLINA,142571,34423,5386,20.36669448906159
1948,SOUTH DAKOTA,250105,117653,129651,-4.797185182223462
1948,TENNESSEE,550283,270402,202914,12.264234948199382
1948,TEXAS,1147245,750700,282240,40.83347497701014
1948,UTAH,276306,149151,124402,8.957098289577498
1948,VERMONT,123382,45557,75926,-24.61380104067044
1948,VIRGINIA,419256,200786,172070,6.849275860095028
1948,WASHINGTON,905058,476165,386314,9.927651045568354
1948,WEST VIRGINIA,748750,429188,316251,15.083405676126876
1948,WISCONSIN,1276800,647310,590959,4.413455513784465
1948,WYOMING,101425,52354,47947,4.345082573330044
1952,ALABAMA,426120,275075,149231,29.532526049000285
1952,ARIZONA,260570,108528,152042,-16.699543308899717
1952,ARKANSAS,404800,226300,177155,12.140563241106715
1952,CALIFORNIA,5141849,2197548,2897310,-13.609151104981882
1952,COLORADO,630103,245504,379782,-21.31048415893909
1952,CONNECTICUT,1096911,481649,611012,-11.7933907126467
1952,DELAWARE,174025,83315,90059,-3.8753052722310057
1952,FLORIDA,989337,444950,544036,-10.015394147797968
1952,GEORGIA,655785,456823,198961,39.321118964294705
1952,IDAHO,276254,95081,180707,-30.99538830206983
1952,ILLINOIS,4481058,2013920,2457327,-9.89514083504387
1952,INDIANA,1955049,801530,1136259,-17.12125885335866
1952,IOWA,1268773,451513,808906,-28.168395765042288
1952,KANSAS,896166,273296,616302,-38.27482854738966
1952,KENTUCKY,993148,495729,495029,0.07048294916769948
1952,LOUISIANA,651952,345027,306925,5.844295285542489
1952,MAINE,351786,118806,232353,-32.27729358189354
1952,MARYLAND,902074,395337,499424,-11.538632085616037
1952,MASSACHUSETTS,2383398,1083525,1292325,-8.760601460603729
1952,MICHIGAN,2798592,1230657,1551529,-11.46547978412002
1952,MINNESOTA,1379483,608458,763211,-11.218188263284146
1952,MISSISSIPPI,285532,172566,112966,20.87331717635852
1952,MISSOURI,1892062,929830,959429,-1.5643779115060652
1952,MONTANA,265037,106213,157394,-19.31088866837461
1952,NEBRASKA,609660,188057,421603,-38.30758127480891
1952,NEVADA,82190,31688,50502,-22.890862635357095
1952,NEW HAMPSHIRE,272950,106663,166287,-21.84429382670818
1952,NEW JERSEY,2418554,1015902,1373613,-14.790283781135338
1952,NEW MEXICO,238608,105661,132170,-11.109853818815802
1952,NEW YORK,7128239,3104601,3952813,-11.899320435243544
1952,NORTH CAROLINA,1210910,652803,558107,7.820234369193413
1952,NORTH DAKOTA,270127,76694,191712,-42.57923125048589
1952,OHIO,3700758,1600367,2100391,-13.511394152225026
1952,OKLAHOMA,948984,430939,518045,-9.178869190629136
1952,OREGON,695059,270579,420815,-21.614855717284424
1952,PENNSYLVANIA,4580969,2146269,2415789,-5.883471379090322
1952,RHODE ISLAND,414498,203293,210935,-1.8436759646608736
1952,SOUTH CAROLINA,341087,173004,9793,47.85025521347926
1952,SOUTH DAKOTA,294283,90426,203857,-38.54487007404437
1952,TENNESSEE,892553,443710,446147,-0.27303700732617675
1952,TEXAS,2075946,969228,1102878,-6.438028734851486
1952,UTAH,329554,135364,194190,-17.850185402088886
1952,VERMONT,153557,43355,109717,-43.21652545960132
1952,VIRGINIA,619689,268677,349037,-12.96779513594723
1952,WASHINGTON,1102708,492845,599107,-9.636458609169424
1952,WEST VIRGINIA,873548,453578,419970,3.84729860293882
1952,WISCONSIN,1607370,622175,979744,-22.245593733863387
1952,WYOMING,129253,47934,81049,-25.620295080191564
1956,ARIZONA,290173,112880,176990,-22.093716507049237
1956,ARKANSAS,406572,213277,186287,6.63843058548056
1956,CALIFORNIA,5466355,2420135,3027668,-11.114042172526297
1956,COLORADO,657074,257997,394479,-20.771176458054956
1956,CONNECTICUT,1117121,405079,711837,-27.459693265098405
1956,DELAWARE,177988,79421,98057,-10.47036878890712
1956,FLORIDA,1125762,480371,643849,-14.52154185342906
1956,GEORGIA,669655,444688,222778,33.13795909834168
1956,IDAHO,272989,105868,166979,-22.385883680294803
1956,ILLINOIS,4407407,1775682,2623327,-19.23228329037912
1956,INDIANA,1974607,783908,1182811,-20.20164012383224
1956,IOWA,1234564,501858,729187,-18.41370718731471
1956,KANSAS,866243,296317,566878,-31.233845468303933
1956,KENTUCKY,1053805,476453,572192,-9.085077409957243
1956,LOUISIANA,617544,243977,329047,-13.775536641923486
1956,MAINE,351706,102468,249238,-41.73087749427078
1956,MARYLAND,932827,372613,559738,-20.05998968726248
1956,MASSACHUSETTS,2348506,948190,1393197,-18.948514502411317
1956,MICHIGAN,3080468,1359898,1713647,-11.48361223034941
1956,MINNESOTA,1340005,617525,719302,-7.595270166902362
1956,MISSISSIPPI,248104,144453,60685,33.763260568148844
1956,MISSOURI,1832562,918273,914289,0.21740055725263385
1956,MONTANA,271171,116238,154933,-14.26959372499272
1956,NEBRASKA,577137,199029,378108,-31.028854500751123
1956,NEVADA,96689,40640,56049,-15.936662908914151
1956,NEW HAMPSHIRE,266994,90364,176519,-32.26851539734975
1956,NEW JERSEY,2484312,850337,1606942,-30.455313181275137
1956,NEW MEXICO,253926,106098,146788,-16.02435355182219
1956,NEW YORK,7095971,2747944,4345506,-22.51364894247736
1956,NORTH CAROLINA,1165592,590530,575062,1.3270509749552184
1956,NORTH DAKOTA,253991,96742,156766,-23.632333429137255
1956,OHIO,3702265,1439655,2262610,-22.228419629605117
1956,OKLAHOMA,859350,385581,473769,-10.26217489963344
1956,OREGON,736132,329204,406393,-10.48575527215228
1956,PENNSYLVANIA,4576503,1981769,2585252,-13.186553138935992
1956,RHODE ISLAND,387609,161790,225819,-16.51896627787281
1956,SOUTH CAROLINA,300583,136372,75700,20.18477425536374
1956,SOUTH DAKOTA,293857,122288,171569,-16.77040193019053
1956,TENNESSEE,939404,456507,462288,-0.6153901835631914
1956,TEXAS,1955168,859958,1080619,-11.28603782385964
1956,UTAH,333995,118364,215631,-29.122292249883984
1956,VERMONT,152978,42549,110390,-44.34689955418426
1956,VIRGINIA,697978,267760,386459,-17.006123402170264
1956,WASHINGTON,1150889,523002,620430,-8.465455834576579
1956,WEST VIRGINIA,830831,381534,449297,-8.156050989912506
1956,WISCONSIN,1550558,586768,954844,-23.738292924224695
1956,WYOMING,124127,49554,74573,-20.15596928951799
1960,ALASKA,60762,29809,30953,-1.8827556696619616
1960,ARIZONA,398491,176781,221241,-11.157090122487078
1960,ARKANSAS,428509,215049,184508,7.127271539220886
1960,CALIFORNIA,6506578,3224099,3259722,-0.5474920918491999
1960,COLORADO,736236,330629,402242,-9.726908219646957
1960,CONNECTICUT,1222883,657055,565813,7.461220738206359
1960,DELAWARE,196683,99590,96373,1.6356268716665845
1960,FLORIDA,1544176,748700,795476,-3.0291883826714106
1960,GEORGIA,733349,458638,274472,25.113008949354267
1960,HAWAII,184705,92410,92295,0.06226144392409427
1960,IDAHO,300450,138853,161597,-7.5699783657846575
1960,ILLINOIS,4757409,2377846,2368988,0.1861937874166386
1960,INDIANA,2135360,952358,1175120,-10.432058294620113
1960,IOWA,1273810,550565,722381,-13.488353836129408
1960,KANSAS,928825,363213,561474,-21.345355691330447
1960,KENTUCKY,1124462,521855,602607,-7.181389855771031
1960,LOUISIANA,807891,407339,230980,21.829553739303943
1960,MAINE,421767,181159,240608,-14.095223191951955
1960,MARYLAND,1055349,565808,489538,7.226993155818596
1960,MASSACHUSETTS,2469480,1487174,976750,20.669290700876296
1960,MICHIGAN,3318097,1687269,1620428,2.014437793711271
1960,MINNESOTA,1541887,779933,757915,1.4279905077350052
1960,MISSOURI,1934422,972201,962221,0.5159163822578527
1960,MONTANA,277579,134891,141841,-2.503791713350073
1960,NEBRASKA,613095,232542,380553,-24.141609375382277
1960,NEVADA,107267,54880,52387,2.3241071345334543
1960,NEW HAMPSHIRE,295761,137772,157989,-6.835586842078567
1960,NEW JERSEY,2773111,1385415,1363324,0.7966143439624318
1960,NEW MEXICO,311107,156027,153733,0.7373668866338556
1960,NEW YORK,7291079,3830085,3446419,5.262129240404612
1960,NORTH CAROLINA,1368556,713136,655420,4.217291802454559
1960,NORTH DAKOTA,278431,123963,154310,-10.899289231443344
1960,OHIO,4161859,1944248,2217611,-6.568290756606604
1960,OREGON,776421,367402,408060,-5.236592003565072
1960,PENNSYLVANIA,5006541,2556282,2439956,2.323480422910751
1960,RHODE ISLAND,405535,258032,147502,27.255354038492364
1960,SOUTH CAROLINA,386688,198129,188558,2.47512206223105
1960,SOUTH DAKOTA,306487,128070,178417,-16.427124152084755
1960,TENNESSEE,1051792,481453,556577,-7.142476839527206
1960,TEXAS,2311084,1167567,1121310,2.001528287158755
1960,UTAH,374709,169248,205361,-9.637612120338712
1960,VERMONT,167324,69186,98131,-17.29877363677655
1960,VIRGINIA,771449,362327,404521,-5.469447753513196
1960,WASHINGTON,1241572,599298,629273,-2.41427802817718
1960,WEST VIRGINIA,837781,441786,395995,5.465748208660731
1960,WISCONSIN,1729082,830805,895175,-3.7227846915299514
1960,WYOMING,140782,63331,77451,-10.02969129576224
1964,ALABAMA,689818,NA,479085,NA
1964,ALASKA,67259,44329,22930,31.8158164706582
1964,ARIZONA,480770,237753,242535,-0.9946544085529474
1964,ARKANSAS,560426,314197,243264,12.656978798271313
1964,CALIFORNIA,7057586,4171877,2879108,18.317438852321455
1964,COLORADO,776986,476024,296767,23.070814660753214
1964,CONNECTICUT,1218578,826269,390996,35.71974875633731
1964,DELAWARE,201320,122704,78078,22.166699781442485
1964,FLORIDA,1854481,948540,905941,2.297084736915611
1964,GEORGIA,1139335,522556,616584,-8.25288435798075
1964,HAWAII,207271,163249,44022,57.52227759792734
1964,IDAHO,292477,148920,143557,1.8336484578274528
1964,ILLINOIS,4702841,2796833,1905946,18.943591756557364
1964,INDIANA,2091606,1170848,911118,12.417730681591088
1964,IOWA,1184539,733030,449148,23.965610250063524
1964,KANSAS,857901,464028,386579,9.027731638032826
1964,KENTUCKY,1046105,669659,372977,28.36063301485032
1964,LOUISIANA,896293,387068,509225,-13.629136900544797
1964,MAINE,380965,262264,118701,37.68403921620096
1964,MARYLAND,1116457,730912,385495,30.938674754155333
1964,MASSACHUSETTS,2344798,1786422,549727,52.74206989258776
1964,MICHIGAN,3203102,2136615,1060152,33.60689106996905
1964,MINNESOTA,1554462,991117,559624,27.75834983421917
1964,MISSISSIPPI,409146,52618,356528,-74.27910819120802
1964,MISSOURI,1817879,1164344,653535,28.09917491758252
1964,MONTANA,278628,164246,113032,18.38078010824468
1964,NEBRASKA,584154,307307,276847,5.214378400216385
1964,NEVADA,135433,79339,56094,17.163468283210154
1964,NEW HAMPSHIRE,288093,184064,104029,27.780959620678043
1964,NEW JERSEY,2847663,1868231,964174,31.74733105708085
1964,NEW MEXICO,328645,194015,132838,18.61491883339165
1964,NEW YORK,7166275,4913102,2243559,37.25147304561994
1964,NORTH CAROLINA,1424983,800139,624844,12.301550264108418
1964,NORTH DAKOTA,258389,149784,108207,16.090855260866366
1964,OHIO,3969196,2498331,1470865,25.885998071145895
1964,OKLAHOMA,932499,519834,412665,11.492666480071296
1964,OREGON,786305,501017,282779,27.754878832005396
1964,PENNSYLVANIA,4822690,3130954,1673657,30.21751346240376
1964,RHODE ISLAND,390091,315463,74615,61.74149108797691
1964,SOUTH CAROLINA,524779,215723,309048,-17.783676557179312
1964,SOUTH DAKOTA,293118,163010,130108,11.224830955451392
1964,TENNESSEE,1143946,634947,508965,11.012932428628623
1964,TEXAS,2626811,1663185,958566,26.824122481594603
1964,UTAH,401413,219628,181785,9.427447541559442
1964,VERMONT,163089,108127,54942,32.611028334222425
1964,VIRGINIA,1042267,558038,481334,7.359342663636098
1964,WASHINGTON,1258556,779881,470366,24.592866745699045
1964,WEST VIRGINIA,792040,538087,253953,35.873693247815766
1964,WISCONSIN,1691815,1050424,638495,24.34834778034241
1964,WYOMING,142716,80718,61998,13.116959556041374
1968,ALABAMA,1049922,196579,146923,4.7294941909970465
1968,ALASKA,83035,35411,37600,-2.636237731077257
1968,ARIZONA,486936,170514,266721,-19.75762728572133
1968,ARKANSAS,619969,188228,190759,-0.408246218762548
1968,CALIFORNIA,7251587,3244318,3467664,-3.079960290071676
1968,COLORADO,811199,335174,409345,-9.143379121522589
1968,CONNECTICUT,1256232,621561,556721,5.161466990173791
1968,DELAWARE,214367,89194,96714,-3.508002631001972
1968,FLORIDA,2187805,676794,886804,-9.59911875144266
1968,GEORGIA,1250266,334440,380111,-3.6529026623134566
1968,HAWAII,236218,141324,91425,21.12413109923884
1968,IDAHO,291183,89273,165369,-26.133393776422388
1968,ILLINOIS,4619749,2039814,2174774,-2.9213708363809374
1968,INDIANA,2123597,806659,1067885,-12.301109862181947
1968,IOWA,1167931,476699,619106,-12.193100448571014
1968,KANSAS,872783,302996,478674,-20.12848554566255
1968,KENTUCKY,1055893,397541,462411,-6.143614930679525
1968,LOUISIANA,1097450,309615,257535,4.745546494145519
1968,MAINE,392936,217312,169254,12.23049046155099
1968,MARYLAND,1235039,538310,517995,1.6448873274447162
1968,MASSACHUSETTS,2331752,1469218,766844,30.122157073307964
1968,MICHIGAN,3306250,1593082,1370665,6.72716824196597
1968,MINNESOTA,1588506,857738,658643,12.533474849953356
1968,MISSISSIPPI,654509,150644,88516,9.492306446511812
1968,MISSOURI,1809502,791444,811932,-1.132245225481926
1968,MONTANA,274404,114117,138835,-9.007886182417169
1968,NEBRASKA,536851,170784,321163,-28.011310400837473
1968,NEVADA,154218,60598,73188,-8.163768172327485
1968,NEW HAMPSHIRE,297298,130589,154903,-8.178326123956436
1968,NEW JERSEY,2875395,1264206,1325467,-2.1305246757402028
1968,NEW MEXICO,327350,130081,169692,-12.10050404765542
1968,NEW YORK,6791688,3378470,3007932,5.455757096026792
1968,NORTH CAROLINA,1587493,464113,627192,-10.272738210499194
1968,NORTH DAKOTA,247882,94769,138669,-17.710039454256467
1968,OHIO,3959698,1700586,1791014,-2.2837095152206057
1968,OKLAHOMA,943086,301658,449697,-15.697295898783354
1968,OREGON,819622,358866,408433,-6.047543867782956
1968,PENNSYLVANIA,4747928,2259405,2090017,3.567619391026988
1968,RHODE ISLAND,385000,246518,122359,32.2490909090909
1968,SOUTH CAROLINA,666978,197486,254062,-8.482438701126577
1968,SOUTH DAKOTA,281264,118023,149841,-11.312503555378578
1968,TENNESSEE,1248617,351233,472592,-9.719473625619385
1968,TEXAS,3079216,1266804,1227844,1.265257130386438
1968,UTAH,422568,156665,238728,-19.420069669260332
1968,VERMONT,161404,70255,85142,-9.2234393199672855
1968,VIRGINIA,1361491,442387,590319,-10.865440902657452
1968,WASHINGTON,1304281,616037,588510,2.110511461870562
1968,WEST VIRGINIA,754206,374091,307555,8.82199293031347
1968,WISCONSIN,1691538,748804,809997,-3.617595348138797
1968,WYOMING,127205,45173,70927,-20.246059510239377
1972,ALABAMA,1006111,256923,728701,-46.891247586001946
1972,ALASKA,95219,32967,55349,-23.50581291548956
1972,ARIZONA,622926,198540,402812,-32.792338094733566
1972,ARKANSAS,651320,199892,448541,-38.17616532579992
1972,CALIFORNIA,8367862,3475847,4602096,-13.459220527298378
1972,COLORADO,953884,329980,597189,-28.01273530114773
1972,CONNECTICUT,1384277,555498,810763,-18.440312162955824
1972,DELAWARE,235516,92283,140357,-20.412201294179592
1972,FLORIDA,2583283,718117,1857759,-44.11603374465747
1972,GEORGIA,1174772,289529,881496,-50.389948006932414
1972,HAWAII,270274,101409,168865,-24.95837557441707
1972,IDAHO,310379,80826,199384,-38.19781621823642
1972,ILLINOIS,4723236,1913472,2788179,-18.51923130667196
1972,INDIANA,2125529,708568,1405154,-32.77235925738957
1972,IOWA,1225944,496206,706207,-17.12973838935547
1972,KANSAS,916095,270287,619812,-38.15379409340734
1972,KENTUCKY,1067499,371159,676446,-28.59834060734483
1972,LOUISIANA,1051491,298142,686852,-36.96750614127938
1972,MAINE,417042,160584,256458,-22.98905146244263
1972,MARYLAND,1353812,505781,829305,-23.897261953653825
1972,MASSACHUSETTS,2458756,1332540,1112078,8.96640414909003
1972,MICHIGAN,3489727,1459435,1961721,-14.393274889411122
1972,MINNESOTA,1741652,802346,898269,-5.5075870495368715
1972,MISSISSIPPI,645963,126782,505125,-58.57038251416876
1972,MISSOURI,1855803,697147,1153852,-24.60956254516239
1972,MONTANA,317603,120197,183976,-20.08135943300284
1972,NEBRASKA,576289,169991,406298,-41.00494717060363
1972,NEVADA,181766,66016,115750,-27.361552765643737
1972,NEW HAMPSHIRE,334055,116435,213724,-29.123647303587735
1972,NEW JERSEY,2997229,1102211,1845502,-24.799272928428223
1972,NEW MEXICO,386241,141084,235606,-24.472285438366203
1972,NEW YORK,7165919,2951084,4192778,-17.327770520431507
1972,NORTH CAROLINA,1518612,438705,1054889,-40.57547286601186
1972,NORTH DAKOTA,280514,100384,174109,-26.282110696792323
1972,OHIO,4094787,1558889,2441827,-21.562489086733937
1972,OKLAHOMA,1029900,247147,759025,-49.701718613457615
1972,OREGON,927946,392760,486686,-10.121925198233516
1972,PENNSYLVANIA,4592106,1796951,2714521,-19.98146384251583
1972,RHODE ISLAND,415808,194645,220383,-6.189876096659991
1972,SOUTH CAROLINA,673960,186824,477044,-43.061902783547986
1972,SOUTH DAKOTA,307415,139945,166476,-8.630353105736537
1972,TENNESSEE,1201182,357293,813147,-37.95045213797742
1972,TEXAS,3471281,1154289,2298896,-32.97361982507322
1972,UTAH,478476,126284,323643,-41.24741888830369
1972,VERMONT,186947,68174,117149,-26.197264465329745
1972,WASHINGTON,1470847,568334,837135,-18.27525228660765
1972,WEST VIRGINIA,762399,277435,484964,-27.220523636573503
1972,WISCONSIN,1852890,810174,989430,-9.674400531062282
1972,WYOMING,145570,44358,100464,-38.54228206361201
1976,ALABAMA,1182850,659170,504070,13.11239802172718
1976,ALASKA,123574,44058,71555,-22.251444478612008
1976,ARIZONA,742719,295602,418642,-16.566157591228986
1976,ARKANSAS,767535,498604,267903,30.057391519604977
1976,CALIFORNIA,7867117,3742284,3882244,-1.7790506992586996
1976,COLORADO,1081554,460353,584367,-11.466279076218113
1976,CONNECTICUT,1381526,647895,719261,-5.165737018340582
1976,DELAWARE,235834,122596,109831,5.412705547122126
1976,FLORIDA,3150631,1636000,1469531,5.283671747024643
1976,GEORGIA,1467458,979409,483743,33.777184764402115
1976,HAWAII,291301,147375,140003,2.5307156515082365
1976,IDAHO,344071,126549,204151,-22.5540658759384
1976,ILLINOIS,4718914,2271295,2364269,-1.970241458098204
1976,INDIANA,2220362,1014714,1183958,-7.622360678123663
1976,IOWA,1279306,619931,632863,-1.0108605759685307
1976,KANSAS,957845,430421,502752,-7.55143055504805
1976,KENTUCKY,1167142,615717,531852,7.185500993023991
1976,LOUISIANA,1278439,661365,587446,5.781973171969884
1976,MAINE,483216,232279,236320,-0.8362719777490812
1976,MARYLAND,1439897,759612,672661,6.038695823381812
1976,MASSACHUSETTS,2547558,1429475,1030276,15.669868949009214
1976,MICHIGAN,3653749,1696714,1893742,-5.392488646592858
1976,MINNESOTA,1949931,1070440,819395,12.874558125390074
1976,MISSISSIPPI,769361,381309,366846,1.8798717377148055
1976,MISSOURI,1953600,998387,927443,3.6314496314496343
1976,MONTANA,328734,149259,173703,-7.435799156765044
1976,NEBRASKA,607668,233692,359705,-20.737145941533864
1976,NEVADA,201876,92479,101273,-4.3561394123125154
1976,NEW HAMPSHIRE,339618,147635,185935,-11.27737634636562
1976,NEW JERSEY,3014472,1444653,1509688,-2.1574259107399243
1976,NEW MEXICO,418409,201148,211419,-2.4547751123900285
1976,NEW YORK,6534170,3389558,3100791,4.419337115502048
1976,NORTH CAROLINA,1678914,927365,741960,11.043150512771948
1976,NORTH DAKOTA,297188,136078,153470,-5.852187840693435
1976,OHIO,4111873,2011621,2000505,0.27033908878022483
1976,OKLAHOMA,1092251,532442,545708,-1.2145559949132578
1976,OREGON,1029876,490407,492120,-0.16633070389056592
1976,PENNSYLVANIA,4620787,2328677,2205604,2.6634640376195673
1976,RHODE ISLAND,411170,227636,181249,11.2817082958387
1976,SOUTH CAROLINA,802583,450807,346149,13.04014662657943
1976,SOUTH DAKOTA,300678,147068,151505,-1.4756649971065403
1976,TENNESSEE,1476345,825879,633969,12.998994137549152
1976,TEXAS,4071884,2082319,1953300,3.1685332882763872
1976,UTAH,541198,182110,337908,-28.787615623117595
1976,VERMONT,187765,80954,102085,-11.25396106835672
1976,VIRGINIA,1697094,813896,836554,-1.3351057749305617
1976,WEST VIRGINIA,750964,435914,314760,16.13313021662822
1976,WISCONSIN,2104175,1040232,1004987,1.675003267313796
1976,WYOMING,156343,62239,92717,-19.494316982531995
1980,ALABAMA,1341929,636730,654192,-1.3012610950355774
1980,ALASKA,158445,41842,86112,-27.940294739499517
1980,ARIZONA,873945,246843,529688,-32.36416479297896
1980,ARKANSAS,837582,398041,403164,-0.6116416064337604
1980,CALIFORNIA,8587063,3083661,4524858,-16.783351886436606
1980,COLORADO,1184415,367973,652264,-24.002651097799337
1980,CONNECTICUT,1406285,541732,677210,-9.633751337744478
1980,DELAWARE,235900,105754,111252,-2.3306485799067356
1980,FLORIDA,3686930,1419475,2046951,-17.018929027673437
1980,GEORGIA,1596695,890733,654168,14.81591662778427
1980,HAWAII,303287,135879,130112,1.9014992399938035
1980,IDAHO,437431,110192,290699,-41.26525097672547
1980,ILLINOIS,4749721,1981413,2358049,-7.92964470965768
1980,INDIANA,2242033,844197,1255656,-18.35204923388728
1980,IOWA,1317661,508672,676026,-12.700838834874824
1980,KANSAS,979795,326150,566812,-24.56248500961936
1980,KENTUCKY,1294627,616417,635274,-1.4565585299858574
1980,LOUISIANA,1548591,708453,792853,-5.4501156212324595
1980,MAINE,523011,220974,238522,-3.3551875581966706
1980,MARYLAND,1540496,726161,680606,2.9571644457369595
1980,MASSACHUSETTS,2522890,1053802,1057631,-0.15177039030635495
1980,MICHIGAN,3909725,1661532,1915225,-6.4887683916388
1980,MINNESOTA,2051980,954174,873268,3.942825953469331
1980,MISSISSIPPI,892620,429281,441089,-1.3228473482557013
1980,MISSOURI,2099824,931182,1074181,-6.810046937267122
1980,MONTANA,363952,118032,206814,-24.39387611553172
1980,NEBRASKA,640854,166851,419937,-39.4919903753429
1980,NEVADA,247885,66666,155017,-35.641930734009726
1980,NEW HAMPSHIRE,383990,108864,221705,-29.386442355269672
1980,NEW JERSEY,2975684,1147364,1546557,-13.41516773958526
1980,NEW MEXICO,456971,167826,250779,-18.152793065643113
1980,NEW YORK,6201959,2728372,2893831,-2.6678505936591987
1980,NORTH CAROLINA,1855833,875635,915018,-2.122119824359192
1980,NORTH DAKOTA,301545,79189,193695,-37.97310517501534
1980,OHIO,4283603,1752414,2206545,-10.601612707806956
1980,OKLAHOMA,1149708,402026,695570,-25.53204813744011
1980,OREGON,1181516,456890,571044,-9.661655026254406
1980,PENNSYLVANIA,4561501,1937540,2261872,-7.110203417690797
1980,RHODE ISLAND,416072,198342,154793,10.46669807148763
1980,SOUTH CAROLINA,894071,430385,441841,-1.2813300062299304
1980,SOUTH DAKOTA,327703,103855,198343,-28.833425388232637
1980,TENNESSEE,1617616,783051,787761,-0.29116922681278745
1980,TEXAS,4541636,1881147,2510705,-13.861921122696758
1980,UTAH,604222,124266,439687,-52.20283273366412
1980,VERMONT,213299,81952,94628,-5.942831424432371
1980,VIRGINIA,1866032,752174,989609,-12.72405832268686
1980,WASHINGTON,1742394,650193,865244,-12.34227161020986
1980,WEST VIRGINIA,737715,367462,334206,4.507973946578287
1980,WISCONSIN,2273221,981584,1088845,-4.718458961975097
1980,WYOMING,176713,49427,110700,-34.67373651061326
1984,ALABAMA,1441713,551899,872849,-22.26171228254167
1984,ALASKA,207605,62007,138377,-36.786204571180846
1984,ARIZONA,1025897,333854,681416,-33.878839688584726
1984,ARKANSAS,884406,338646,534774,-22.176240324014085
1984,CALIFORNIA,9505423,3922519,5467009,-16.248514137666465
1984,COLORADO,1295380,454975,821817,-28.31925766956414
1984,CONNECTICUT,1466900,569597,890877,-21.901970141113917
1984,DELAWARE,254572,101656,152190,-19.85057272598715
1984,FLORIDA,4180051,1448816,2730350,-30.658334072957484
1984,GEORGIA,1776120,706628,1068722,-20.386798189311538
1984,HAWAII,335846,147154,185050,-11.283743144179176
1984,IDAHO,411144,108510,297523,-45.972457338548054
1984,ILLINOIS,4819088,2086499,2707103,-12.878038334224229
1984,INDIANA,2233069,841481,1377230,-23.99160079693015
1984,IOWA,1319805,605620,703088,-7.385030364334128
1984,KANSAS,1021991,333149,677296,-33.674171298964474
1984,KENTUCKY,1369345,539539,821702,-20.605691042067555
1984,LOUISIANA,1706822,651586,1037299,-22.59831429405058
1984,MAINE,553144,214515,336500,-22.053027783000445
1984,MARYLAND,1675873,787935,879918,-5.488661730333977
1984,MASSACHUSETTS,2559453,1239606,1310936,-2.7869236121936924
1984,MICHIGAN,3801658,1529638,2251571,-18.989951226543784
1984,MINNESOTA,2084449,1036364,1032603,0.1804313753898501
1984,MISSISSIPPI,941104,352192,582377,-24.4590395960489
1984,MISSOURI,2122783,848583,1274188,-20.04938799679477
1984,MONTANA,384377,146742,232450,-22.297900238567863
1984,NEBRASKA,652090,187866,460054,-41.74086399116687
1984,NEVADA,286667,91655,188770,-33.8772861892021
1984,NEW HAMPSHIRE,389066,120395,267051,-37.694375761438934
1984,NEW JERSEY,3217862,1261323,1933630,-20.89297179307254
1984,NEW MEXICO,514370,201769,307101,-20.47786612749577
1984,NEW YORK,6806810,3119609,3664763,-8.008949860507341
1984,NORTH CAROLINA,2175361,824287,1346481,-24.004935272812183
1984,NORTH DAKOTA,308971,104429,200336,-31.040777289778003
1984,OHIO,4547619,1825440,2678560,-18.759707002719445
1984,OKLAHOMA,1255676,385080,861530,-37.94370522332194
1984,OREGON,1226527,536479,685700,-12.166140655688787
1984,PENNSYLVANIA,4844903,2228131,2584323,-7.351891255614406
1984,RHODE ISLAND,410492,197106,212080,-3.647817740662424
1984,SOUTH CAROLINA,968529,344459,615539,-27.98883667912886
1984,SOUTH DAKOTA,317867,116113,200267,-26.474594720433387
1984,TENNESSEE,1711994,711714,990212,-16.2674635541947
